Placeholder,Placeholder (no brackets),Field Name (pretty label),Phase,Section in Report Where Used,Source,Required,Description of Expected Content ,Fallback,Dependencies,Word count (min),Word count (max),Tone/Style,Instructions for GPT,Allowed source: user,Allowed source: GPT logic,Allowed source: API,Data Type,Retry on Reject,Normalise Case,Provenence required,Notes,Examples,Benchmark Targets,Auto populates (human info only),derivation_type,cascade_family
{{ cost_source_win }},cost_source_win,Windows,Strategy,14,GPT,Yes,Source of the information used to calculate the cost of interventions to the windos under the Retrofit Strategy,"None, mandatory",None,1,25,Number,"Auto-populated by pipe-costs /confirm — records the source attribution for the corresponding rate (e.g. 'Spon's 2024'). Do NOT populate manually. If empty, call /costs/preview first. If /costs/preview has failed, set to 'GPT estimate' to flag that the corresponding rate was not benchmark-sourced.",No,Yes,No,String,Yes,Initial caps,Yes,,,N/A,No,rules,
{{ cost_tot_cata }},cost_tot_cata,Refurb to CAT A,Strategy,14,GPT,Yes,Total estimated cost of interventions to take any vacant floors back to CAT-A status under the Retrofit Strategy,"None, mandatory","cost_rate_cata, gia",1,5,Number,"Auto-populated by pipe-costs /confirm — calculated as cost_rate × GIA (sq ft). Do NOT calculate or populate manually. If empty, call /costs/preview first. If /costs/preview has failed, multiply the corresponding cost_rate field by gia (sq ft) and state 'manually calculated — verify' in cost_comments.",No,Yes,No,Currency,Yes,N/A,No, Can use the per sq ft rate listed in {{ Cost_rate_eot }} multiplied by {{ GIA }},"£1,000,000 ",N/A,No,calculated,
{{ cost_tot_eot }},cost_tot_eot,End of trip,Strategy,14,GPT,Yes,Total estimated cost of interventions to improve the end of trip facilities under the Retrofit Strategy,"None, mandatory","cost_rate_eot, gia",1,5,Number,"Auto-populated by pipe-costs /confirm — calculated as cost_rate × GIA (sq ft). Do NOT calculate or populate manually. If empty, call /costs/preview first. If /costs/preview has failed, multiply the corresponding cost_rate field by gia (sq ft) and state 'manually calculated — verify' in cost_comments.",No,Yes,No,Currency,Yes,N/A,No, Can use the per sq ft rate listed in {{ Cost_rate_eot }} multiplied by {{ GIA }},"£1,000,000 ",N/A,No,calculated,
{{ cost_tot_fees }},cost_tot_fees,Professional fees (at 15%),Strategy,14,GPT,Yes,"Total estimated professional fees, calculated as 15% of the toal of all other costs listed above","None, mandatory","cost_tot_plant, cost_tot_floor, cost_tot_light, cost_tot_win, cost_tot_ins, cost_tot_cata, cost_tot_pv, cost_tot_water, cost_tot_nia, cost_tot_recept, cost_tot_eot, cost_tot_other",1,5,Number,"Auto-populated by pipe-costs /confirm — calculated as cost_rate × GIA (sq ft). Do NOT calculate or populate manually. If empty, call /costs/preview first. If /costs/preview has failed, multiply the corresponding cost_rate field by gia (sq ft) and state 'manually calculated — verify' in cost_comments.",No,Yes,No,Currency,Yes,N/A,No, Can use the per sq ft rate listed in {{ Cost_rate_eot }} multiplied by {{ GIA }},"£1,000,000 ",N/A,No,calculated,
{{ cost_tot_floor }},cost_tot_floor,On floor MEP,Strategy,14,GPT,Yes,Total estimated cost of interventions to the on floor MEP systems under the Retrofit Strategy,"None, mandatory","cost_rate_floor, gia",1,5,Number,"Auto-populated by pipe-costs /confirm — calculated as cost_rate × GIA (sq ft). Do NOT calculate or populate manually. If empty, call /costs/preview first. If /costs/preview has failed, multiply the corresponding cost_rate field by gia (sq ft) and state 'manually calculated — verify' in cost_comments.",No,Yes,No,Currency,Yes,N/A,No, Can use the per sq ft rate listed in {{ Cost_rate_eot }} multiplied by {{ GIA }},"£1,000,000 ",N/A,No,calculated,
{{ cost_tot_ins }},cost_tot_ins,Insulation,Strategy,14,GPT,Yes,Total estimated cost of interventions to improve the building fabric insulation under the Retrofit Strategy,"None, mandatory","cost_rate_ins, gia",1,5,Number,"Auto-populated by pipe-costs /confirm — calculated as cost_rate × GIA (sq ft). Do NOT calculate or populate manually. If empty, call /costs/preview first. If /costs/preview has failed, multiply the corresponding cost_rate field by gia (sq ft) and state 'manually calculated — verify' in cost_comments.",No,Yes,No,Currency,Yes,N/A,No, Can use the per sq ft rate listed in {{ Cost_rate_eot }} multiplied by {{ GIA }},"£1,000,000 ",N/A,No,calculated,
{{ cost_tot_light }},cost_tot_light,Lighting,Strategy,14,GPT,Yes,Total estimated cost of interventions to all lighting systems under the Retrofit Strategy,"None, mandatory","cost_rate_light, gia",1,5,Number,"Auto-populated by pipe-costs /confirm — calculated as cost_rate × GIA (sq ft). Do NOT calculate or populate manually. If empty, call /costs/preview first. If /costs/preview has failed, multiply the corresponding cost_rate field by gia (sq ft) and state 'manually calculated — verify' in cost_comments.",No,Yes,No,Currency,Yes,N/A,No, Can use the per sq ft rate listed in {{ Cost_rate_eot }} multiplied by {{ GIA }},"£1,000,000 ",N/A,No,calculated,
{{ cost_tot_nia }},cost_tot_nia,Additional NIA,Strategy,14,GPT,Yes,Total estimated cost of interventions to increase the net lettable aread under the Retrofit Strategy,"None, mandatory","cost_rate_nia, gia",1,5,Number,"Auto-populated by pipe-costs /confirm — calculated as cost_rate × GIA (sq ft). Do NOT calculate or populate manually. If empty, call /costs/preview first. If /costs/preview has failed, multiply the corresponding cost_rate field by gia (sq ft) and state 'manually calculated — verify' in cost_comments.",No,Yes,No,Currency,Yes,N/A,No, Can use the per sq ft rate listed in {{ Cost_rate_eot }} multiplied by {{ GIA }},"£1,000,000 ",N/A,No,calculated,
{{ cost_tot_other }},cost_tot_other,Other,Strategy,14,GPT,Yes,"Total estimated cost of all other interventionsin your Retrofit Strategy, not included above","None, mandatory","cost_rate_other, gia",1,5,Number,"Auto-populated by pipe-costs /confirm — calculated as cost_rate × GIA (sq ft). Do NOT calculate or populate manually. If empty, call /costs/preview first. If /costs/preview has failed, multiply the corresponding cost_rate field by gia (sq ft) and state 'manually calculated — verify' in cost_comments.",No,Yes,No,Currency,Yes,N/A,No, Can use the per sq ft rate listed in {{ Cost_rate_eot }} multiplied by {{ GIA }},"£1,000,000 ",N/A,No,calculated,
{{ cost_tot_plant }},cost_tot_plant,Main plant,Strategy,14,GPT,Yes,"Total estimated cost of interventions to the Main Central Plant (chillers, ASHP, AHU, electrics, etc) under the Retrofit Strategy","None, mandatory","cost_rate_plant, gia",1,5,Number,"Auto-populated by pipe-costs /confirm — calculated as cost_rate × GIA (sq ft). Do NOT calculate or populate manually. If empty, call /costs/preview first. If /costs/preview has failed, multiply the corresponding cost_rate field by gia (sq ft) and state 'manually calculated — verify' in cost_comments.",No,Yes,No,Currency,Yes,N/A,No, Can use the per sq ft rate listed in {{ Cost_rate_eot }} multiplied by {{ GIA }},"£1,000,000 ",N/A,No,calculated,
{{ cost_tot_pv }},cost_tot_pv,Renewables / solar,Strategy,14,GPT,Yes,Total estimated cost of interventions to tadd renewables under the Retrofit Strategy,"None, mandatory","cost_rate_pv, gia",1,5,Number,"Auto-populated by pipe-costs /confirm — calculated as cost_rate × GIA (sq ft). Do NOT calculate or populate manually. If empty, call /costs/preview first. If /costs/preview has failed, multiply the corresponding cost_rate field by gia (sq ft) and state 'manually calculated — verify' in cost_comments.",No,Yes,No,Currency,Yes,N/A,No, Can use the per sq ft rate listed in {{ Cost_rate_eot }} multiplied by {{ GIA }},"£1,000,000 ",N/A,No,calculated,
{{ cost_tot_recept }},cost_tot_recept,Reception,Strategy,14,GPT,Yes,Total estimated cost of interventions to improve the reception under the Retrofit Strategy,"None, mandatory","cost_rate_recept, gia",1,5,Number,"Auto-populated by pipe-costs /confirm — calculated as cost_rate × GIA (sq ft). Do NOT calculate or populate manually. If empty, call /costs/preview first. If /costs/preview has failed, multiply the corresponding cost_rate field by gia (sq ft) and state 'manually calculated — verify' in cost_comments.",No,Yes,No,Currency,Yes,N/A,No, Can use the per sq ft rate listed in {{ Cost_rate_eot }} multiplied by {{ GIA }},"£1,000,000 ",N/A,No,calculated,
{{ cost_tot_total }},cost_tot_total,TOTAL COSTS,Strategy,14,GPT,Yes,Sum of all costs listed above,"None, mandatory","cost_tot_plant, cost_tot_floor, cost_tot_light, cost_tot_win, cost_tot_ins, cost_tot_cata, cost_tot_pv, cost_tot_water, cost_tot_nia, cost_tot_recept, cost_tot_eot, cost_tot_other, cost_tot_fees",1,5,Number,"Auto-populated by pipe-costs /confirm — calculated as cost_rate × GIA (sq ft). Do NOT calculate or populate manually. If empty, call /costs/preview first. If /costs/preview has failed, multiply the corresponding cost_rate field by gia (sq ft) and state 'manually calculated — verify' in cost_comments.",No,Yes,No,Currency,Yes,N/A,No, Can use the per sq ft rate listed in {{ Cost_rate_eot }} multiplied by {{ GIA }},"£1,000,000 ",N/A,No,calculated,
{{ cost_tot_water }},cost_tot_water,Water systems,Strategy,14,GPT,Yes,Total estimated cost of interventions to the water systems under the Retrofit Strategy,"None, mandatory","cost_rate_water, gia",1,5,Number,"Auto-populated by pipe-costs /confirm — calculated as cost_rate × GIA (sq ft). Do NOT calculate or populate manually. If empty, call /costs/preview first. If /costs/preview has failed, multiply the corresponding cost_rate field by gia (sq ft) and state 'manually calculated — verify' in cost_comments.",No,Yes,No,Currency,Yes,N/A,No, Can use the per sq ft rate listed in {{ Cost_rate_eot }} multiplied by {{ GIA }},1000000,N/A,No,calculated,
{{ cost_tot_win }},cost_tot_win,Windows,Strategy,14,GPT,Yes,Total estimated cost of interventions to the windows under the Retrofit Strategy,"None, mandatory","cost_rate_win, gia",1,5,Number,"Auto-populated by pipe-costs /confirm — calculated as cost_rate × GIA (sq ft). Do NOT calculate or populate manually. If empty, call /costs/preview first. If /costs/preview has failed, multiply the corresponding cost_rate field by gia (sq ft) and state 'manually calculated — verify' in cost_comments.",No,Yes,No,Currency,Yes,N/A,No, Can use the per sq ft rate listed in {{ Cost_rate_eot }} multiplied by {{ GIA }},1000000,N/A,No,calculated,
{{ created_at }},created_at,Session Created,Init,16,CALCULATED,Yes,Timestamp when the PIPE session was initialised,None,None,1,5,N/A - system field,System-generated ISO timestamp at session creation. Do not manually populate even if user insists.,No,No,Yes,String,No,N/A,Yes,ISO 8601 format,2026-01-07T11:01:06.543Z,N/A,No,auto,
{{ crrem_adv_comments }},crrem_adv_comments,CRREM Advanced Assessment,Strategy,6,GPT,Yes,"Physics-based CRREM retrofit analysis authored by pipe-crrem Val (/crrem2). Four paragraphs: (1) baseline vs retrofit EUI, strand status under 1.5°C and 2.0°C with excess tonnes, CO₂ trajectory; (2) per-intervention savings with confidence, corroboration status, end-use disaggregation; (3) staircase step summary; (4) methodology, system archetypes, caveats.",Insert 'Data unavailable or inconclusive',"crrem_retrofit_final_eui, crrem_retrofit_strand_year_1_5, crrem_retrofit_excess_tonnes, crrem_retrofit_total_savings_pct",100,300,"Clear, factual, technical","The deterministic CRREM retrofit analysis is already in this field (Val-authored — four paragraphs covering baseline vs retrofit EUI, strand status under 1.5°C and 2.0°C with excess tonnes, retrofit effectiveness). Present it verbatim as the opening of your output. Then add your synthesis: investment implications of the retrofit intervention, capex-to-value-at-risk ratio, risk-adjusted return post-intervention; cross-reference with {{ cost_comments }}, {{ postrefurb_eui }}, {{ price_paid }}, and {{ strategic_decarb_comments }}.",No,No,Yes,String,Yes,Initial caps,Yes,,,N/A,No,llm_derived,
{{ crrem_chart }},crrem_chart,CRREM Chart,Strategy,6,CALCULATED,Yes,CRREM pathway chart (JPG). Shows building line vs 1.5°C/2.0°C declining pathways with baseline and retrofit staircases. Data sourced from pipe-crrem Val.,Insert 'Data unavailable or inconclusive',None,1,10,Image,"Chart created during /report. Not done by GPT.  X-axis: years (2024-2050). Y-axis: kgCO₂/m². Plot: 1.5°C pathway, 2.0°C pathway, baseline building line, retrofit building line. User upload in session, as per system instructions. Stored as base64 string in SQL.",No,No,No,base64,Yes,N/A,Yes,JPEG file only.  Should be rendered via /report ,N/A,N/A,No,calculated,
{{ crrem_comments }},crrem_comments,CRREM Assessment,Strategy,6,GPT,Yes,"Base CRREM screening analysis authored by pipe-crrem Val (/crrem1). Covers EUI derivation, energy mix, strand year, excess emissions, and key assumptions.",Insert 'Data unavailable or inconclusive',"crrem_strand_year_1_5, crrem_excess_emissions_tonnes, crrem_delta",75,300,"Clear, factual, technical","The deterministic CRREM screening narrative is already in this field (Val-authored — covers EUI derivation, energy mix, strand year, excess emissions, key assumptions). Present it verbatim as the opening of your output. Then add your synthesis: stranding exposure in the context of investor hold period and fund ESG mandate; what level of retrofit investment would reverse stranding; cross-reference with {{ epc_commentary }}, {{ ownership_insights }}, {{ climate_risk_commentary }}, and {{ strategic_decarb_comments }}.",No,No,Yes,String,Yes,Initial caps,Yes,,,N/A,No,llm_derived,
{{ crrem_delta }},crrem_delta,CRREM Delta,Strategy,6,CALCULATED,Yes,Delta between building carbon intensity and CRREM 1.5°C pathway in base year. Computed by pipe-crrem Val (/crrem1).,Insert 'Data unavailable or inconclusive',None,1,10,"Clear, factual, technical",Computed by Val and stored. Present as-is.,No,No,Yes,String,Yes,N/A,Yes,,200 kgCO2/m2,N/A,No,calculated,
{{ crrem_strand_severity_1_5 }},crrem_strand_severity_1_5,Stranding Severity (1.5 deg),Strategy,6,CALCULATED,Yes,Stranding severity classification based on EUI gap to CRREM 1.5°C pathway. COMPLIANT = below pathway. MARGINAL = gap <20 kWh/m². MODERATE = gap 20–60 kWh/m². SEVERE = gap >60 kWh/m².,Insert 'Data unavailable or inconclusive',None,1,10,"Short, factual",Computed by Val and stored. Present as-is.,No,No,Yes,String,Yes,Initial caps,Yes,,Moderate,N/A,No,rules,
{{ crrem_strand_year_1_5 }},crrem_strand_year_1_5,Stranding Year (1.5 deg scenario),Strategy,6,CALCULATED,Yes,"Year building becomes stranded under CRREM 1.5°C pathway. Computed by pipe-crrem Val (/crrem1). Values: year (e.g. 2029), ALREADY_STRANDED, or NOT_STRANDED.",Insert 'Data unavailable or inconclusive',None,1,10,Number,Computed by Val and stored. Present as-is.,No,No,Yes,String,Yes,N/A,Yes,,"2029 (or ""Already Stranded"")",N/A,No,calculated,
{{ crrem_VAR }},crrem_var,Carbon Value at Risk,Strategy,6,GPT,Yes,"Carbon Value at Risk expressed as financial exposure. Derived from CRREM Val excess emissions data, carbon price assumptions, and asset financial data (GAV/acquisition cost).",Insert 'Data unavailable or inconclusive',"crrem_excess_emissions_tonnes, gia, cost_rate_total",1,10,Number,Ask user: 'What carbon price assumption for Carbon Value at Risk? UK Treasury shadow price is £241/tCO2 (2025). If unsure I will use £241/tCO2.' If user specifies a price use it; if unsure default to £241/tCO2. Calculate: crrem_excess_emissions_tonnes x carbon_price. Express as '£X.XXm (at £Y/tCO2)'. If pre-acquisition with no site survey data store: 'Requires site survey'. DO NOT use the £100/t value in pipe_companion.pdf,No,Yes,Yes,Currency,Yes,N/A,Yes,,06-Apr-77,N/A,No,calculated,
{{ data_sources_list }},data_sources_list,Data Sources,Export,16,CALCULATED,Yes,Comma-separated list of unique data sources used in this session,None,session_id,1,50,N/A - system field,Aggregated from source column in pipe_fields for this session,No,No,Yes,String,No,N/A,No,Deduplicated list of sources,"OS_PLACES, EPC, IMD_2025, USER, GPT",N/A,No,auto,
{{ date }},date,None,Init,1,CALCULATED,Yes,Today's date.  Enter the date of this analysis and nothing else,"None, mandatory",None,0,5,Date,Use today's date,No,Yes,No,Date,Yes,N/A,No,,"45,658",N/A,No,auto,
{{ dec_annual_electricity_kwh }},dec_annual_electricity_kwh,DEC Annual Electricity (kWh),API,5,DEC,No,"Actual annual electricity consumption from metered data in kWh, covering the 12-month DEC assessment period. Compare against dec_typical_electricity_kwh to quantify the electrical performance gap. High actual vs typical indicates inefficient lighting, cooling, or IT/equipment loads.",Insert 'Data unavailable or inconclusive',None,1,10,Number,"Auto-populated from DEC API via /epc/lookup (auto-fires alongside EPC). This is metered consumption data, actual energy used, not modelled.",No,No,Yes,Number,No,N/A,Yes,Actual metered consumption. Compare with dec_typical_electricity_kwh to quantify performance gap. Ratio > 1.2 signals significant electrical inefficiency.,892000,N/A,Yes,auto,dec
{{ dec_annual_thermal_kwh }},dec_annual_thermal_kwh,DEC Annual Thermal (kWh),API,5,DEC,No,"Actual annual thermal fuel consumption (gas, oil, district heat) from metered data in kWh. Compare against dec_typical_thermal_kwh to quantify the heating performance gap. High actual vs typical often signals poor insulation, aged boilers, or inadequate controls.",Insert 'Data unavailable or inconclusive',None,1,10,Number,"Auto-populated from DEC API via /epc/lookup (auto-fires alongside EPC). This is metered heating consumption — actual energy used, not modelled.",No,No,Yes,Number,No,N/A,Yes,Actual metered heating consumption. Compare with dec_typical_thermal_kwh. Ratio > 1.3 signals significant thermal inefficiency — a strong retrofit indicator.,31/12/5294,N/A,Yes,auto,dec
{{ dec_commentary }},dec_commentary,DEC Commentary,API,5,GPT,No,Performance gap analysis comparing EPC theoretical rating against DEC actual operational energy consumption. Quantify the gap as a percentage above or below typical. Explain what the divergence means for retrofit potential. Include yr1/yr2 trend data if available to show whether performance is improving or deteriorating. Note any significant divergence between electricity and thermal consumption vs their respective benchmarks.,Insert 'Data unavailable or inconclusive',"dec_operational_rating, dec_rating_band, dec_annual_electricity_kwh, dec_typical_electricity_kwh, dec_annual_thermal_kwh, dec_typical_thermal_kwh, epc_rating",10,200,"Clear, factual, analytical","Using the DEC data in response.dec, write a synthesise performance gap commentary using DEC data from response.dec. IMPORTANT: DEC operational_rating uses a 100-based scale (100=typical, lower=better) — this is NOT the same as EPC A-G bands. Compare EPC theoretical vs DEC actual operational performance. Quantify gap as percentage. Include yr1/yr2 trend if available — improving trend reduces retrofit urgency, deteriorating trend increases it. If electrical and thermal gaps diverge significantly, note which system is the primary driver. If no DEC data is available, say so; do not speculate.",No,Yes,No,String,Yes,Initial caps,No,Only ~15-25% of buildings have DECs. This commentary is only synthesised when dec.found = true. The performance gap between EPC (theoretical) and DEC (actual) is one of the most powerful metrics in CRE decarbonisation.,"EPC rates this building B (score 37) but the DEC operational rating is 127 (band D) — actual energy consumption is 27% above typical. yr1 rating 134, yr2 141, improving trend (6% improvement year-on-year).",Performance gap <15%,No,llm_derived,
{{ dec_date }},dec_date,DEC Date,API,5,DEC,No,Lodgement date of the Display Energy Certificate. DECs are valid for 1 year (advisory report valid for 7 years). Recency matters — a pre-2020 DEC may not reflect current operational performance post-COVID. DECs lodged >3 years ago should be flagged as potentially stale.,Insert 'Data unavailable or inconclusive',None,1,5,Date,Auto-populated from DEC API via /epc/lookup (auto-fires alongside EPC). Flag DECs older than 3 years as potentially stale. Do not manually populate unless override requested by user.,No,No,Yes,Date,No,N/A,Yes,"DECs older than 2-3 years may not reflect current building performance. COVID-19 significantly altered occupancy patterns (2020-2022), making pre-pandemic DECs unreliable for current operational assessment.",45458,N/A,Yes,auto,dec
{{ dec_operational_rating }},dec_operational_rating,DEC Operational Rating,API,5,DEC,No,"Actual operational energy rating from Display Energy Certificate. Scale: 100 = typical for this building type, <100 = better than typical, >100 = worse than typical. This is NOT the same scale as EPC A-G bands. A rating of 150 means the building consumes 50% more energy than a typical building of its type. Based on 12 months of metered energy data.",Insert 'Data unavailable or inconclusive',None,1,10,"Short, factual",Auto-populated from DEC API via /epc/lookup (auto-fires alongside EPC). Do not manually populate unless override requested by user. IMPORTANT: 100-based scale (lower = better). Do NOT confuse with EPC asset rating. Present alongside EPC rating to show the theoretical vs actual performance gap. ,No,No,Yes,Number,No,N/A,Yes,"DEC required for buildings >250m occupied by public authorities. Hit rate ~15-25% for PIPE2 sessions. 'No DEC' is a normal finding, most commercial buildings are not required to have one.",127,<100,Yes,auto,dec
{{ dec_rating_band }},dec_rating_band,DEC Rating Band,API,5,DEC,No,"A-G band derived from the DEC operational rating. A (0-25) = most efficient, G (>150) = least efficient. Based on actual metered energy consumption over 12 months, not theoretical design performance. Compare with EPC rating band to identify the performance gap between design intent and operational reality.",Insert 'Data unavailable or inconclusive',dec_operational_rating,1,5,"Short, factual",Auto-populated from DEC API via /epc/lookup. Do not manually populate unless override requested by user. Band derived from operational rating. Compare with EPC band — divergence reveals the gap between design intent and operational reality.,No,No,Yes,"ENUM: A, B, C, D, E, F, G",No,All caps,Yes,"A building with EPC B but DEC D has a significant performance gap, it was designed to be efficient but operates poorly. This is the core retrofit intelligence the DEC provides.",D,A or B,Yes,auto,dec
{{ dec_typical_electricity_kwh }},dec_typical_electricity_kwh,DEC Typical Electricity (kWh),API,5,DEC,No,"Typical annual electricity consumption for this building type and size in kWh — the benchmark against which actual consumption (dec_annual_electricity_kwh) is compared. The benchmark category is determined by the building's main benchmark classification (e.g., General Office, Schools, Hospital).",Insert 'Data unavailable or inconclusive',None,1,15,Number,Auto-populated from DEC API via /epc/lookup (auto-fires alongside EPC).Do not manually populate unless override requested by user. Benchmark for the building type. The ratio actual/typical reveals electrical efficiency.,No,No,Yes,Number,No,N/A,Yes,Benchmark varies by building type classification. Comparing actual vs typical for both electricity and thermal separately reveals which system drives the performance gap.,750000,N/A,Yes,auto,dec
{{ dec_typical_thermal_kwh }},dec_typical_thermal_kwh,DEC Typical Thermal (kWh),API,5,DEC,No,"Typical annual thermal fuel consumption for this building type and size in kWh, the benchmark against which actual heating consumption (dec_annual_thermal_kwh) is compared. High actual/typical ratio signals fabric, HVAC, or controls deficiency.",Insert 'Data unavailable or inconclusive',None,1,15,Number,Auto-populated from DEC API via /epc/lookup (auto-fires alongside EPC). Do not manually populate unless override requested by user. Benchmark for the building type. The ratio actual/typical reveals heating system efficiency.,No,No,Yes,Number,No,N/A,Yes,"Thermal overconsumption is typically the dominant driver of poor DEC ratings in UK commercial buildings — insulation, boiler efficiency, and BMS controls are the usual culprits.",980000,N/A,Yes,auto,dec
{{ dhw_generation_type }},dhw_generation_type,DHW Generation Type,Base build,5,GPT,Yes,"Domestic hot water generation plant. Used by CRREM energy model to determine DHW electrification intervention applicability. Must be one of: gas_boiler, electric_boiler, heat_pump, electric_immersion, district_heat, centralised_unknown, none, unknown.",Insert 'unknown',"Enum: gas_boiler,electric_boiler,heat_pump,electric_immersion,district_heat,centralised_unknown,none,unknown",1,10,"Short, factual","Using the EPC API data and AC inspection report data above, state the building's domestic hot water system type. Normalise to one of the enum values: gas_boiler, electric_boiler, heat_pump, electric_immersion, district_heat, centralised_unknown, none, unknown. If the data does not indicate a centralised DHW system, state that point-of-use electric is likely and store 'electric_immersion'. If DHW is part of the main boiler system, store the same type as heating_generation_type. If unsure, store 'unknown' and say so.",Yes,Yes,No,String,No,Lower case,Yes,"Feeds DHW_ELECTRIFICATION intervention eligibility. Only applicable when dhw_generation_type is gas_boiler. If heat_pump or electric, DHW electrification is skipped.",gas_boiler,"CIBSE Guide F, NCM Table 7",No,llm_assisted,
{{ epc_assessment_level }},epc_assessment_level,EPC Assessment Level,API,5,EPC,No,EPC assessment methodology level (3-5). Level 3: simplified SBEM. Level 4: detailed SBEM with measured inputs. Level 5: dynamic simulation (DesignBuilder/IES VE/EnergyPlus). Higher levels produce more reliable primary energy values. The EUI estimation model adjusts its reality factor accordingly.,Insert 'Data unavailable or inconclusive',None,1,3,"Short, factual","Auto-populated from EPC API during /epc/lookup, do not manually populate unless override requested by user.",No,No,Yes,Number,No,N/A,Yes,"Level 5 = dynamic sim (-0.1 factor adjustment, high confidence). Level 3 = simplified (+0.1, low confidence). Feeds estimateOperationalEUI() in pipe-crrem-logic.",5,N/A,Yes,auto,epc
{{ epc_benchmark }},epc_benchmark,Benchmark,API,5,EPC,Yes,"The  efficiency expected of a typical new build, which is a benchmark against which older properties can be compared",Insert 'Data unavailable or inconclusive',None,1,10,"Short, factual","Auto-populated from EPC API during /epc/lookup, do not manually populate unless override requested by user.",No,Yes,Yes,String,Yes,Leading caps,Yes,,B (35) - the efficiency expected of a typical new build,N/A,Yes,auto,epc
{{ epc_co2_emissions }},epc_co2_emissions,Annual CO₂ Emissions,API,5,EPC,Yes,Building Emission Rate (in kgCO₂/m²/year) and Primary Energy Use aka EUI (in kWh/m²/year),Insert 'Data unavailable or inconclusive',None,1,10,"Short, factual","Auto-populated from EPC API during /epc/lookup, do not manually populate unless override requested by user.",No,Yes,Yes,String,Yes,N/A,Yes,,Building Emission Rate: 43.21 kgCO₂/m²/year.  Primary Energy Use (EUI): 253 kWh/m²/year,EUI < 55 kWh/m²/year,Yes,auto,epc
{{ epc_commentary }},epc_commentary,Commentary,API,5,GPT,Yes,"Synthesis of findings from the EPC API call. Insights, risks/opportunities, issues raised in the EPC and AC report, including recommendations, comments on date of EPC and expiry, comparison to other buildings based on LLM training",Insert 'Data unavailable or inconclusive',"epc_rating, epc_date, epc_co2_emissions, epc_benchmark",50,150,"Descriptive, factual, expository","Using the raw EPC API data and AC inspection report data above, focusing on the recommendations, write deep analytical commentary about the state of the buildings overall energy performance. Not a system summary (that is in long_bldg_system_summary — do not overlap). You MUST follow the additional more detailed instructions in PIPE.ANALYSIS.EPC.001 in pipe_companion_file.pdf. GROUND ALL ELEMENTS IN FACTS AND CITATIONS FROM THE API CALL — if unsure, you MUST say so. Cover: general insights from the certificate, issues raised in recommendations, commentary on EPC date and expiry, AC inspection findings if present. if unsure, you MUST say so.",No,Yes,Yes,String,Yes,Leading caps,Yes,,"EPC B (45) lodged February 2023, valid to 2033. Main heating: mains-gas fired condensing boilers. No recommendations currently outstanding; typical emissions 41 kgCO₂/m²/year against target of 34. The score sits at the top of B; a single-step primary-energy reduction would move it to A. The AC inspection report lodged March 2024 confirms four McQuay chillers totalling 3.48 MW cooling capacity, R134a refrigerant, no operational oversight gaps. For a 2014-build this is strong on paper, but 127 kWh/m²/yr primary energy leaves meaningful decarbonisation headroom via the heat-pump opportunity flagged in the AC report's next-refurb recommendations.",N/A,Yes,llm_derived,
{{ epc_date }},epc_date,Date of last EPC,API,5,EPC,Yes,Date of the EPCs used in completing {EPC_rating}.  Include certificate number,Insert 'Data unavailable or inconclusive',None,1,5,Date,"Auto-populated from EPC API during /epc/lookup, do not manually populate unless override requested by user.",No,Yes,Yes,Date,Yes,N/A,Yes,,1 January 2020. Certificate number 1234-5678-9101-1121,N/A,Yes,auto,epc
{{ epc_letter }},epc_letter,Latest EPC letter,API,5,EPC,Yes,Letter only of the current EPC rating,"None, mandatory",None,1,2,"Short, factual","Auto-populated from EPC API during /epc/lookup, do not manually populate unless override requested by user.",No,Yes,Yes,"ENUM: A, B, C, D, E, F, G",Yes,N/A,Yes,,B,N/A,Yes,auto,epc
{{ epc_lmk_key }},epc_lmk_key,EPC Certificate Key,API,5,EPC,No,Unique certificate identifier (lodgement key) used to construct the EPC URL,Insert 'Data unavailable or inconclusive',None,1,30,"Short, factual","Auto-populated from EPC API during /epc/lookup, do not manually populate unless override requested by user.",No,No,Yes,String,No,N/A,Yes,Used to build epc_url,1.23457E+39,N/A,Yes,auto,epc
{{ epc_lodgement_datetime }},epc_lodgement_datetime,EPC Lodgement Datetime,API,5,EPC,No,Full datetime when the EPC was lodged,Insert 'Data unavailable or inconclusive',None,1,5,Date,"Auto-populated from EPC API during /epc/lookup, do not manually populate unless override requested by user.",No,No,Yes,Datetime,No,N/A,Yes,More precise than epc_date,2024-01-15T14:30:00,N/A,Yes,auto,epc
{{ epc_main_heating_fuel }},epc_main_heating_fuel,Main Heating Fuel,API,5,EPC,No,Primary heating fuel type for the building,Insert 'Data unavailable or inconclusive',None,1,10,"Short, factual","Auto-populated from EPC API during /epc/lookup, do not manually populate unless override requested by user.",No,No,Yes,String,No,N/A,Yes,,Natural Gas,N/A,Yes,auto,epc
{{ epc_number }},epc_number,Latest EPC number,API,5,EPC,Yes,Number only of the current EPC rating,"None, mandatory",epc_letter,1,5,Number,"Auto-populated from EPC API during /epc/lookup, do not manually populate unless override requested by user.",No,Yes,Yes,Number,Yes,N/A,Yes,,35,N/A,Yes,auto,epc
